Activity Type,Date,Favorite,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress ScoreÂ®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Total Routes,Climb Time,Max Ascent,Total Ascent,Total Rest,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,11/15/2021 06:42,FALSE,6.22,708,00:59:37,147,170,3,160,221,09:35,03:54,82,120,1.04,9.1,9.4,280,49.4% L / 50.6% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,75.2,00:00,No,00:15.0,22,0,28,12,42,00:59:36,00:59:37,71,133
Walking,11/13/2021 06:46,FALSE,3,309,00:49:26,86,94,0.9,123,128,16:28,15:22,27,61,0.8,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,78.8,00:00,No,00:02.6,4,0,--,--,--,00:49:23,00:52:49,-28,31
Walking,11/12/2021 02:04,FALSE,3.26,324,01:05:55,88,108,0.7,109,115,20:12,18:55,15,43,0.73,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,77,00:00,No,05:13.5,4,0,--,--,--,01:05:55,01:05:55,81,125
Running,11/11/2021 17:58,FALSE,6.27,749,00:53:58,157,167,3.4,166,170,08:36,08:03,32,82,1.13,8.1,9.3,273,49.6% L / 50.4% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,78.8,00:00,No,02:22.1,7,0,33,16,44,00:53:57,00:54:28,64,125
Running,11/10/2021 05:17,FALSE,3.23,367,00:26:17,155,170,3.2,163,177,08:08,07:11,21,16,1.2,7.5,9.3,265,49.5% L / 50.5% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,73.4,00:00,No,03:01.5,4,0,33,19,45,00:26:17,00:26:17,178,196
Walking,11/9/2021 21:00,FALSE,2.12,218,00:37:45,96,111,0.6,108,116,17:50,16:14,23,24,0.84,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,78.8,00:00,No,02:05.3,3,0,--,--,--,00:36:58,00:37:45,186,203
Strength Training,11/9/2021 00:25,FALSE,0,229,00:31:43,113,139,1.1,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,215,22,--,--,--,--,--,00:00,78.8,00:00,No,31:42.9,1,0,21,21,21,00:13:13,00:31:43,--,--
Running,11/8/2021 06:42,FALSE,7.46,891,01:05:24,158,172,3.9,162,181,08:46,07:50,70,71,1.13,8.4,9.7,272,49.4% L / 50.6% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,78.8,00:00,No,04:47.0,8,0,33,17,43,01:05:23,01:05:24,170,194
Walking,11/7/2021 05:21,FALSE,5.6,589,01:35:06,85,104,1.7,117,143,17:00,13:53,45,58,0.81,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,77,00:00,No,09:39.9,6,0,--,--,--,01:29:42,01:35:06,160,189
Strength Training,11/6/2021 00:43,FALSE,0,198,00:28:36,112,135,1,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,205,20,--,--,--,--,--,00:00,78.8,00:00,No,28:35.8,1,0,--,--,--,00:13:31,00:28:36,--,--
Running,11/4/2021 23:27,FALSE,4.72,541,00:42:52,148,167,3.3,162,176,09:04,07:27,18,35,1.1,8.4,9.4,275,49.6% L / 50.4% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,77,00:00,No,07:00.5,5,0,29,11,39,00:42:51,00:42:52,159,187
Pool Swimming,11/4/2021 02:50,FALSE,"1,800",617,01:13:53,140,162,3.1,--,--,03:30,01:14,--,--,0,0,0,--,--,0,0,0,1532,74,24,--,--,--,--,--,--,--,00:00,0,00:00,No,00:10.0,20,0,--,--,--,01:02:59,01:16:08,--,--
Walking,11/3/2021 05:37,FALSE,7.58,791,02:03:38,94,112,2.1,122,155,16:18,14:27,103,92,0.81,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,77,00:00,No,10:10.9,8,0,--,--,--,02:03:07,02:08:26,148,216
Strength Training,11/3/2021 00:44,FALSE,0,250,00:36:36,113,141,1.3,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,186,22,--,--,--,--,--,00:00,78.8,00:00,No,36:36.3,1,0,--,--,--,00:14:09,00:36:36,--,--
Running,11/2/2021 06:26,FALSE,3.04,359,00:33:22,134,146,2.2,155,160,10:59,09:37,24,33,0.95,9.6,9.3,298,49.1% L / 50.9% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,78.8,00:00,No,00:23.7,4,0,22,18,27,00:33:21,00:33:22,159,182
Running,11/1/2021 05:45,FALSE,8.09,933,01:13:58,154,173,3.9,162,171,09:09,07:58,48,110,1.09,8.4,9.3,278,49.4% L / 50.6% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,77,00:00,No,01:23.0,9,0,26,11,40,01:13:55,01:13:58,110,183
Walking,10/31/2021 17:54,FALSE,3.05,319,00:48:09,103,126,0.9,119,127,15:48,13:08,28,47,0.85,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,82.4,00:00,No,00:55.2,4,0,--,--,--,00:47:57,00:56:45,83,117
Strength Training,10/30/2021 23:00,FALSE,0,302,00:45:00,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,0,00:00,No,45:00.0,1,0,--,--,--,00:00:00,00:45:00,--,--
Running,10/30/2021 04:57,FALSE,6.45,776,01:02:17,154,174,3.7,158,166,09:40,08:38,30,51,1.05,8.9,9.6,273,49.4% L / 50.6% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,77,00:00,No,06:07.6,7,0,31,19,40,01:02:14,01:03:59,155,180
Pool Swimming,10/29/2021 20:58,FALSE,"1,200",432,00:44:21,150,170,3.3,--,--,02:58,01:08,--,--,0,0,0,--,--,0,0,0,699,64,24,--,--,--,--,--,--,--,00:00,0,00:00,No,00:17.8,34,0,--,--,--,00:35:37,00:45:08,--,--
Strength Training,10/29/2021 01:14,FALSE,0,237,00:33:22,115,136,1.4,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,165,23,--,--,--,--,--,00:00,80.6,00:00,No,33:21.6,1,0,--,--,--,00:13:07,00:33:22,--,--
Running,10/27/2021 06:47,FALSE,4.4,511,00:40:50,153,178,3.3,162,184,09:16,06:09,41,60,1.07,8.5,9.2,275,49.4% L / 50.6% R,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,84.2,00:00,No,00:52.4,6,0,26,11,41,00:40:48,00:40:50,159,193
Strength Training,10/27/2021 01:20,FALSE,0,86,00:17:14,98,114,0.3,--,--,--,--,--,--,0,0,0,--,--,0,0,0,--,--,--,75,15,--,--,--,--,--,00:00,78.8,00:00,No,17:14.3,1,0,--,--,--,05:42.4,00:17:14,--,--
Walking,10/26/2021 05:55,FALSE,4.35,458,01:09:51,99,114,1.8,125,134,16:03,14:59,30,56,0.8,0,0,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,00:00,78.8,00:00,No,05:26.6,5,0,17,17,17,01:09:21,01:09:51,153,186
